﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:3IXItfQJeJihUaAQJFW7x2,Cupid Come,My Bloody Valentine,Isn't Anything,1,3,269333,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-26T03:15:53Z
spotify:track:6V6CxbYYEnHWSLYPHJz41Q,(When You Wake) You're Still in a Dream,My Bloody Valentine,Isn't Anything,1,4,198240,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-26T03:15:56Z
spotify:track:4XoQQ9ifs7nN5n2AiyLjC5,40 Days,Slowdive,Souvlaki,1,3,196266,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-26T07:35:10Z
spotify:track:2HAUfmYnGZw71KJ60gZLny,Chapel Hill,Sonic Youth,Dirty,1,12,286706,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-27T09:09:04Z
spotify:track:604NVJumUJY9kGlFKTu2ei,Darklands,The Jesus and Mary Chain,Darklands,1,1,328680,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-27T22:27:27Z
spotify:track:3JVK9FqWJF1Wk22EMUTeIU,Jah Calling,Bad Brains,Bad Brains,1,6,151586,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-01T07:57:26Z
spotify:track:0YnP5BtP6lTwQV8gLOzaov,Banned in D.C.,Bad Brains,Bad Brains,1,5,132786,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-01T07:57:32Z
spotify:track:2Fq7EkgIuXr3mzoZXJyRSn,For Love,Lush,Spooky,1,6,209133,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-03T07:12:58Z
spotify:track:4xrFQnbIALGqkFXnCBe6Tn,Don't Look Now,Chapterhouse,Blood Music,1,1,306466,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-03T08:07:50Z
spotify:track:0IqY07yVeGSFXyIlHGqjyE,Tom Violence,Sonic Youth,Evol,1,1,185760,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-04T01:04:28Z
spotify:track:758wEKVqfYopJIHYWdLVd4,I Wanna Be Adored - Remastered,The Stone Roses,The Stone Roses,1,1,292800,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-04T15:12:51Z
spotify:track:0sAIljILdEo8Ku4tPLQ7dF,City Of Angels,The Distillers,Sing Sing Death House,1,7,209626,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-06T23:10:50Z
spotify:track:6wVViUl2xSRoDK2T7dMZbR,Bizarre Love Triangle,New Order,Brotherhood [Collector's Edition],1,6,263213,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-07T10:30:15Z
spotify:track:6OrTcyemlErfcg73SpK0FY,My Friends Are Cosmonauts,Duster,"Transmission, Flux",1,3,104386,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-07T11:22:32Z
