﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2NNPnxOunTgqFNlCrG4jcQ","Mortal Kombat","Pivot Gang, Kari Faux, Joseph Chilliams, Saba","You Can't Sit With Us","1","3","211153","spotify:user:jmlern16","2019-09-26T15:15:01Z"
"spotify:track:3tsFWhe45D6CGFSMA77T3B","Trouble On Central","Buddy","Harlan & Alondra","1","6","187426","spotify:user:jmlern16","2019-09-28T03:21:58Z"
"spotify:track:6lfYEDqBMdeqNEszf5tQ9Q","Fire","SiR","Chasing Summer","1","5","153560","spotify:user:jmlern16","2019-09-28T03:22:10Z"
"spotify:track:4fs8ivWpMFLziD20LglPmZ","SoHo Freestyle","Pivot Gang, Kota the Friend","Two Piece Tour Pack","1","1","214050","spotify:user:jmlern16","2019-09-30T14:29:56Z"
"spotify:track:4MAADpR6MjelkaZqe3Mgnv","Elastic","Joey Purp","QUARTERTHING","1","4","126385","spotify:user:jmlern16","2019-10-08T17:18:27Z"
"spotify:track:1Np92e0PSE4OzqZyGFTOsh","Trina","Smino","Trina","1","1","141653","spotify:user:jmlern16","2019-11-02T16:27:11Z"
"spotify:track:5OuPKLNJjsBsyRZ9PjTRTj","Hollyhood (feat. Kent Jamz)","Buddy, Kent Jamz","Hollyhood (feat. Kent Jamz)","1","1","171459","spotify:user:jmlern16","2019-11-02T16:27:36Z"
"spotify:track:1vlQ6COEz1AXKMTZYlbHdQ","Colbert","Pivot Gang, Joseph Chilliams, Saba, Frsh Waters","You Can't Sit With Us","1","2","213718","spotify:user:jmlern16","2019-11-02T16:27:47Z"
"spotify:track:2QDFsehUg5Fui2LOVpCw3Q","Risk","FKJ, Bas","Risk","1","1","238834","spotify:user:jmlern16","2019-11-14T00:36:41Z"
"spotify:track:5hIg7J1i50XLG7bPKQM6O5","Rollinem 7's","N.E.R.D, André 3000, Pharrell Williams","NO ONE EVER REALLY DIES","1","8","309453","spotify:user:jmlern16","2019-11-20T21:50:32Z"
